Country,Date,Covid Deaths,Surplus Deaths,Max Deaths,Overall Deaths
Romania,2022W17,4.999567224962089e-06,0.0,0.0,0.0
North Macedonia,2022W17,5.800441606954343e-06,0.0,0.0,0.0
Montenegro,2022W17,4.295954767892248e-06,0.0,0.0,0.0
Switzerland,2022W17,4.036769200604362e-06,0.0,0.0,0.0
Estonia,2022W17,1.2280073900983507e-05,0.0,0.0,0.0
Ireland,2022W17,1.4914469512294184e-05,0.0,0.0,0.0
Cyprus,2022W17,1.488083612442016e-05,0.0,0.0,0.0
Bulgaria,2022W18,8.867622017997032e-06,0.0,0.0,0.0
Sweden,2022W18,7.033232989331164e-06,0.0,0.0,0.0
Netherlands,2022W18,2.174483409979105e-06,0.0,0.0,0.0
Italy,2022W18,1.58405354733486e-05,0.0,0.0,0.0
Poland,2022W18,2.642706061239269e-06,0.0,0.0,0.0
Malta,2022W18,2.2605438222566685e-05,0.0,0.0,0.0
Denmark,2022W18,1.4212219255159849e-05,0.0,0.0,0.0
Austria,2022W18,1.1605347146905634e-05,0.0,0.0,0.0
France,2022W18,1.240577144077703e-05,0.0,0.0,0.0
Hungary,2022W18,1.3736491479470144e-05,0.0,0.0,0.0
Finland,2022W18,3.8129362627044414e-05,0.0,0.0,0.0
Greece,2022W18,2.5970867179741122e-05,0.0,0.0,0.0
Lithuania,2022W18,1.240008393902974e-05,0.0,0.0,0.0
Slovenia,2022W18,8.692998232476377e-06,0.0,0.0,0.0
Czechia,2022W18,7.319656663873049e-06,0.0,0.0,0.0
Albania,2022W18,0.0,0.0,0.0,0.0
Germany,2022W18,1.4635314127896844e-05,0.0,0.0,0.0
Spain,2022W18,1.24124373747702e-05,0.0,0.0,0.0
Iceland,2022W18,8.134666695589926e-06,0.0,0.0,0.0
Slovakia,2022W18,1.5079969935302044e-05,0.0,0.0,0.0
United Kingdom,2022W18,1.3383925773107768e-05,0.0,0.0,0.0
Croatia,2022W18,1.2882910447668751e-05,0.0,0.0,0.0
Liechtenstein,2022W18,8.534972047966543e-06,0.0,0.0,0.0
Latvia,2022W18,1.44374610562693e-05,0.0,0.0,0.0
Luxembourg,2022W18,7.352207500301966e-06,0.0,0.0,0.0
Norway,2022W18,1.3787469070162575e-05,0.0,0.0,0.0
Belgium,2022W18,1.116422338935956e-05,0.0,0.0,0.0
Portugal,2022W18,1.3821115790653923e-05,0.0,0.0,0.0
Europe**,2022W18,1.1953232004111983e-05,0.0,0.0,0.0
Serbia,2022W18,4.89943045818746e-06,0.0,0.0,0.0
Romania,2022W18,3.8191138524015955e-06,0.0,0.0,0.0
North Macedonia,2022W18,3.705837693331941e-06,0.0,0.0,0.0
Montenegro,2022W18,4.295954767892248e-06,0.0,0.0,0.0
Switzerland,2022W18,3.0371882556928054e-06,0.0,0.0,0.0
Estonia,2022W18,9.272708864007955e-06,0.0,0.0,0.0
Ireland,2022W18,1.3249908182797064e-05,0.0,0.0,0.0
Cyprus,2022W18,1.4508815221309655e-05,0.0,0.0,0.0
Bulgaria,2022W19,9.445945193083793e-06,0.0,0.0,0.0
Sweden,2022W19,6.679965578908137e-06,0.0,0.0,0.0
Netherlands,2022W19,1.487804438406756e-06,0.0,0.0,0.0
Italy,2022W19,1.447875586960069e-05,0.0,0.0,0.0
Poland,2022W19,2.2815362328699022e-06,0.0,0.0,0.0
Malta,2022W19,1.6792611251049536e-05,0.0,0.0,0.0
Denmark,2022W19,1.2157440567666859e-05,0.0,0.0,0.0
Austria,2022W19,7.799091812550732e-06,0.0,0.0,0.0
France,2022W19,1.0942501338350192e-05,0.0,0.0,0.0
Hungary,2022W19,1.0105398968687513e-05,0.0,0.0,0.0
Finland,2022W19,3.891243010595686e-05,0.0,0.0,0.0
Greece,2022W19,2.088282469140242e-05,0.0,0.0,0.0
Lithuania,2022W19,8.942368225261833e-06,0.0,0.0,0.0
Slovenia,2022W19,7.270507612616607e-06,0.0,0.0,0.0
Czechia,2022W19,5.108185927128426e-06,0.0,0.0,0.0
Albania,2022W19,1.1779641081404034e-07,0.0,0.0,0.0
Germany,2022W19,1.3737392910518346e-05,0.0,0.0,0.0
Spain,2022W19,1.0801985160139957e-05,0.0,0.0,0.0
Iceland,2022W19,5.423111130393284e-06,0.0,0.0,0.0
Slovakia,2022W19,1.1538924363449743e-05,0.0,0.0,0.0
United Kingdom,2022W19,1.0588105703164852e-05,0.0,0.0,0.0
Croatia,2022W19,1.21396656141494e-05,0.0,0.0,0.0
Liechtenstein,2022W19,8.534972047966543e-06,0.0,0.0,0.0
Latvia,2022W19,1.0916129091325569e-05,0.0,0.0,0.0
Luxembourg,2022W19,7.877365178894964e-06,0.0,0.0,0.0
Norway,2022W19,1.174717095664076e-05,0.0,0.0,0.0
Belgium,2022W19,8.481348001218891e-06,0.0,0.0,0.0
Portugal,2022W19,1.3626908074625998e-05,0.0,0.0,0.0
Europe**,2022W19,1.045782714214925e-05,0.0,0.0,0.0
Serbia,2022W19,4.511356758529047e-06,0.0,0.0,0.0
Romania,2022W19,3.211527557701342e-06,0.0,0.0,0.0
North Macedonia,2022W19,2.9002208034771713e-06,0.0,0.0,0.0
Montenegro,2022W19,2.6849717299326557e-06,0.0,0.0,0.0
Switzerland,2022W19,4.036769200604362e-06,0.0,0.0,0.0
Estonia,2022W19,6.265343827032403e-06,0.0,0.0,0.0
Ireland,2022W19,1.3782567808236144e-05,0.0,0.0,0.0
Cyprus,2022W19,1.488083612442016e-05,0.0,0.0,0.0
Bulgaria,2022W20,8.530266832529753e-06,0.0,0.0,0.0
Sweden,2022W20,5.427472032862862e-06,0.0,0.0,0.0
Netherlands,2022W20,1.106316120866562e-06,0.0,0.0,0.0
Italy,2022W20,1.3567151341471924e-05,0.0,0.0,0.0
Poland,2022W20,1.8410852226633575e-06,0.0,0.0,0.0
